,sub_name,obj_name,sentence,probability
43409,John Barnes,University of British Columbia,"Trevor John Barnes (born 14 July 1956, London, England) is a British geographer and Professor of Economic geography at the University of British Columbia.",0.9441126553610746
47037,North America,Samuel Winslow,"In 1641, the first patent in North America was issued to Samuel Winslow by the General Court of Massachusetts for a new method of making salt.",0.9373457721057382
77138,Federal Bureau of Investigation,FBI Counterterrorism Division,The FBI's involvement with the JTTF falls under the Operational Support Branch of the FBI Counterterrorism Division.,0.9364584434472472
106981,Robert Johnson,University of Toronto Mississauga,Robert Johnson is a professor and chair at the University of Toronto at Mississauga.,0.9352617699190768
87296,BBC,Stephen Fry,"The eleventh series of QI, the BBC comedy panel game television show hosted by Stephen Fry, started on 6 September 2013.",0.9349750678935963
62456,Gerald B. Cleaver,Baylor University,"Gerald B. Cleaver is a professor in the Department of Physics at Baylor University and is the Head of the Early Universe Cosmology and Strings (EUCOS) division of Baylor's Center for Astrophysics, Space Physics & Engineering Research (CASPER).",0.9332339381087399
22190,Jason Mattera,United States of America,"Jason Joseph Mattera (born September 8, 1983) is an American writer, conservative activist, radio host, and journalist.",0.9329819363421318
12641,South Bronx,New York City,Hip hop culture (or hip-hop) is a cultural movement that formed during the 1970s among African American youths residing in the South Bronx in New York City.,0.9323497315098273
38941,United States district court,United States District Court for the District of New Jersey,Kevin McNulty (born 1954) is a United States District Judge for the United States District Court for the District of New Jersey.,0.9317489147573632
28809,Paul Frank,Paul Barbara,"Paul Frank Barbara (April 24, 1953 – October 31, 2010) was an American chemist.",0.9310760120600788
37843,F.C. Porto,Italian Jews,"Rap(p)aport, Rap(p)oport or Rapa Porto (Hebrew: רפפורט‎) is a family name from an Italian (Jewish) Kohenitic pedigree.",0.9310183664829155
121388,Claude Bernard,French,"Claude Bernard, a French physiologist of the Muséum national d'Histoire naturelle, founded the concept milieu interieur in the mid-1800s.",0.9306853604796238
28075,James Rorimer,United States of America,"James Joseph Rorimer (September 7, 1905 – May 11, 1966), was an American museum curator and former director of the Metropolitan Museum of Art, where he was a primary force behind the creation of the Cloisters, a branch of the museum dedicated to the art and architecture of Medieval Europe.",0.930470059045389
46467,Dana Ward,Pitzer College,"Dana Ward is a professor emeritus of Political Studies at Pitzer College, where he founded and maintains the Anarchy Archives and where he taught from 1982 through 2012.",0.929365691718058
122871,UC Berkeley School of Law,chancellor,"See also: University of California, Berkeley School of Law

Chancellors and Presidents.",0.92868019326891
54822,Mervyn Warren,United States of America,"Mervyn Edwin Warren (born February 29, 1964) is an American film composer, record producer, music conductor, music arranger, lyricist, songwriter, pianist, and vocalist.",0.9261291565184033
85914,Christina Hoff Sommers,American literature,Christina Marie Hoff Sommers (born 1950) is an American author and former philosophy professor known for her writings about feminism in contemporary American culture.,0.9232851920425771
112235,Robinson O. Everett,Duke University,"Robinson O. Everett (March 18, 1928 – June 12, 2009) was an American lawyer, judge and a professor of law at Duke University.",0.922387900912364
7954,Wilhelm Wundt,William James,"One influential figure in the beginning of this new area was Hugo Munsterberg, a German psychologist who was trained by Wilhelm Wundt and who also worked with William James.",0.9221318915918625
71809,Allison Rutledge-Parisi,Kaplan,"Allison Rutledge-Parisi is an attorney, and a former chief administrative officer for Kaplan, Inc., and a former actress.",0.9220513119087054
21116,Armand Mauss,United States of America,"Armand Lind Mauss (born June 5, 1928) is an American sociologist specializing in the sociology of religion.",0.9204077924950491
101934,Daniel Fish,Northwestern University,Daniel Fish graduated from Northwestern University with a BS in performance studies.,0.9199881598167935
69494,David E. Van Zandt,The New School,David Van Zandt is President of The New School.,0.9183699417450063
69264,Frank Wheaton,United States Army,"Frank (Francis) Wheaton (May 8, 1833 – June 18, 1903) was a career military officer in the United States Army during the American Civil War and Indian Wars.",0.9183188701835205
28810,Paul Frank,United States of America,"Paul Frank Barbara (April 24, 1953 – October 31, 2010) was an American chemist.",0.9173757374579213
48071,The Beginning of Infinity,David Deutsch,The Beginning of Infinity is a popular science book by physicist David Deutsch first published in 2011.,0.9172534328433316
54168,George Fleming,Houston,"George Fleming Houston (January 11, 1896 – November 12, 1944) was an American B-western film actor and accomplished singer in the early half of the 20th century.",0.9167571085265886
28102,Adie Moses,English,"Adrian Paul ""Adie"" Moses (born 4 May 1975) is an English former footballer.",0.9162895439279666
7981,Sarah Blaffer Hrdy,United States of America,"Sarah Hrdy (née Blaffer; born July 11, 1946) is an American anthropologist and primatologist who has made several major contributions to evolutionary psychology and sociobiology.",0.9150517982821246
48798,Den Uyl cabinet,Liberty Fund,Douglas J. Den Uyl (born 1950) is Vice President of Educational Programs at Liberty Fund.,0.914566497242536
1430,John Hopfield,United States of America,"John Joseph Hopfield (born July 15, 1933) is an American scientist most widely known for his invention of an associative neural network in 1982.",0.9139314937477058
90088,Robert Horton Cameron,Minnesota,"Robert Horton Cameron (1908 – 1989, Minnesota) was an American mathematician, who worked on analysis and probability theory.",0.9134576983979112
91928,United States of America,PGA Tour,"Donald Albert ""D. A."" Weibring, Jr. (born May 25, 1953) is an American professional golfer who has won numerous tournaments including several on the PGA Tour and Champions Tour.",0.9130624119380046
56641,Roanoke College,Roanoke,"Roanoke College is a private, coeducational, four-year liberal-arts college located in Salem, Virginia, United States, a suburban independent city adjacent to Roanoke, Virginia.",0.9129221488770247
111853,Fujian,Taiwan,"Schive Chi - Governor of Fujian Province and Minister without Portfolio, Republic of China (Taiwan).",0.9128918214384746
32495,New York City Bar Association,New York University School of Law,"Russell D. Niles (June 7, 1902 – September 16, 1992) was a lawyer and expert in trust and estates law, president of the New York City Bar Association, and a dean of New York University School of Law.",0.9126448207689578
96346,Anders Eriksson,Swedish,"Jakob Eriksson (30 September 1848 - 26 April 1931) was a Swedish plant pathologist, mycologist and a taxonomist.",0.9126424153623893
122588,Darren Barrett,Thelonious Monk Institute of Jazz,"Darren Barrett is a Canadian jazz musician who won the 1997 Thelonious Monk International Jazz Competition, and teaches at Berklee College of Music.",0.9125382138453279
52316,Paul Horwich,United Kingdom,"Paul Horwich (born 1947) is a British analytic philosopher at New York University, whose work includes writings on causality, the philosophy of language (especially truth, and meaning) and Wittgenstein's later philosophy.",0.9124861583833976
1090,Brigantine,San Francisco Renaissance,"John Rosenbaum (September 3, 1934, Brigantine, New Jersey – September 30, 2003, Alameda, California), was an American physicist, educator and kinetic sculptor, associated with the San Francisco Renaissance and the counterculture of the 1960s.",0.9124778240886975
3189,Debora Hammond,liberal arts education,"Debora Hammond (born 1951) is an American historian of science, Provost and Professor Interdisciplinary Studies of the Hutchins School of Liberal Studies at the Sonoma State University.",0.9123292591218141
35761,Theodore Caldwell Janeway,Johns Hopkins School of Medicine,"Theodore Caldwell Janeway (November 2, 1872 – December 28, 1917) was the first full-time professor of medicine at the Johns Hopkins University School of Medicine, recruited in 1914.",0.9122934342508003
53324,Montana State Bobcats football,Nobel Peace Prize,"Norman Borlaug, B.S. Forestry, 1937; M.S. (1939) and Ph.D. (1942), Plant Pathology – 1970 Nobel Peace Prize.",0.9117346114699436
72167,Macalester College,U.S. News & World Report,"Macalester College was founded in 1874 by Rev. Dr. Edward Duffield Neill, who served as a chaplain in the Civil War and held positions in three U.S. presidential administrations.",0.9117033297288043
12208,Jackson,Scottish people,Jackson is a common surname of English and Scottish origin.,0.9116110707281863
45164,Pomona College,Claremont,"Here follows a list of notable people associated with Pomona College in Claremont, California, including notable graduates, non-graduating attendees, and past and present faculty.",0.9107472102785196
36574,Robin S. Rosenbaum,United States District Court for the Southern District of Florida,Robin Stacie Rosenbaum (born 1966) is a United States Circuit Judge for the United States Court of Appeals for the Eleventh Circuit and former United States District Judge for the United States District Court for the Southern District of Florida.,0.9104776953671276
106727,Ernest McCulloch,James Till,Research into stem cells grew out of findings by Ernest A. McCulloch and James E. Till at the University of Toronto in the 1960s.,0.9103979167533914
116966,Fano,Italy,"Stefano Vagnini was born in Fano, Italy.",0.910058897714755
108881,Johan Skytte Prize in Political Science,Uppsala University,The Johan Skytte Prize in Political Science (Swedish: Skytteanska priset) was established in 1995 by the Johan Skytte Foundation at Uppsala University.,0.9094649893000931
100414,Union Square,New York City,Happy is headquartered on Union Square in New York City.,0.9090241615953313
116111,Joe Nelson,University of British Columbia,Joe Nelson obtained his PhD from University of British Columbia in 1965.,0.9084762273599853
10379,Japanese militarism,Empire of Japan,"Japanese militarism (日本軍國主義 or 日本軍国主義 , Nihon gunkoku shugi) refers to the ideology in the Empire of Japan that militarism should dominate the political and social life of the nation, and that the strength of the military is equal to the strength of a nation.",0.9084096219450034
