,sub_name,obj_name,sentence,probability
106211,near-infrared spectroscopy,Department of Trade and Industry,"Absolutely critical to being able to understand brain function in children have been neuroimaging techniques, first EEG & ERPs, then fMRI, and more recently NIRS, MEG, & TMS that look at function and MRI, DTI, & MRS that look at structure, connectivity, and metabolism.",0.9082577339338487
83805,Trinity College,University of Toronto,"It was the founding member of the university's modern collegiate system, and its non-denominationalism contrasted with contemporary colleges such as Trinity College and St. Michael's College, both of which later became part of the University of Toronto.",0.9080385634165075
102606,"Joseph P. Kennedy, Sr.",Democratic Party,"Joseph Patrick ""Joe"" Kennedy II (born September 24, 1952) is an American businessman, Democratic politician, and a member of the Kennedy family.",0.907950779931307
5487,Philadelphia,Deerfield Beach,"Nathan Jacob Fine (22 October 1916 in Philadelphia – 18 November 1994 in Deerfield Beach, Florida) was a mathematician who worked on basic hypergeometric series.",0.9075270795879955
66161,Jane Goodall,People for the Ethical Treatment of Animals,"Ethologist Dr. Jane Goodall stated in her 2009 book ”The Inner World of Farm Animals“, that :

“farm animals feel pleasure and sadness, excitement and resentment, depression, fear and pain.",0.9075152356627445
37802,Judith Rossner,Looking for Mr. Goodbar,"Olivia (or, the Weight of the Past) is the second to last novel by Judith Rossner, author of the critically acclaimed novels Looking for Mr. Goodbar and August.",0.9071634664761787
63470,Portuguese,Brazil,Eduardo Luiz Saverin (Portuguese pronunciation: [eduˈaɾdu luˈis ˈsaveɾĩ]) is a Brazilian internet entrepreneur and investor.,0.9070036894505481
75096,John Kellogg,John Hodgman,"John Kellogg Hodgman (born June 3, 1971) is an American author, actor, historian, and humorist.",0.9068706237305945
36095,Granville,International Association for Feminist Economics,"Robin L. Bartlett is a professor for the economics department at Denison University, Granville, Ohio, USA, she was also the president of the International Association for Feminist Economics (IAFFE) from 2005 to 2006.",0.9066235143680829
69035,Robert Marshak,United States of America,"Robert Eugene Marshak (October 11, 1916 – December 23, 1992) was an American physicist dedicated to learning, research, and education.",0.9065576898157002
40784,The Church of Jesus Christ of Latter-day Saints,Wilford Woodruff,"Notable people with the surname include:

Abraham O. Woodruff (1872–1904), member of the Quorum of the Twelve Apostles of The Church of Jesus Christ of Latter-day Saints, and son of Wilford Woodruff.",0.9065136121425849
2195,Daniel S. Sullivan,politics of the United States,"Daniel Scott ""Dan"" Sullivan (born November 13, 1964) is an American politician and member of the Republican Party who has served as the junior United States Senator from Alaska since January 2015.",0.9064922664809381
120977,Woody Allen,United States of America,"Woody Allen – influential American screenwriter, director, actor, comedian, author, playwright, and musician.",0.9064834300398855
5400,Thomas Jefferson,Vladimir Lenin,This statement coming from Thomas Jefferson has a different meaning to the recipient than it does coming from V.I. Lenin.,0.9061611263976335
55175,Erlangen,Jacobs University Bremen,"Michael Kohlhase (born September 13, 1964 in Erlangen) is a German computer scientist and professor at Jacobs University, Bremen, Germany, where he is head of the KWARC research group (Knowledge Adaptation and Reasoning for Content) at the School of Engineering and Science.",0.9060995912962755
16390,United States of America,National Football League,"Kenechi Nduka Udeze (/kəˈnɛtʃiuːˈdɛzeɪ/; born March 5, 1983) is a former American college and professional football player who was a defensive end in the National Football League (NFL) for four seasons during the early 2000s.",0.906086746826713
50547,Paula Hicks-Hudson,"List of mayors of Toledo, Ohio","Paula Hicks-Hudson (born c. 1951) is the Mayor of Toledo, Ohio.",0.9057241386761461
87547,Debby Applegate,Pulitzer Prize for Biography or Autobiography,"Debby Applegate – former faculty, American history, 2007 Pulitzer Prize for Biography or Autobiography.",0.9055747975661208
32284,Haitham al-Haddad,Palestinian people,Haitham al-Haddad is a British scholar and television presenter of Palestinian origin.,0.9048883955435388
52715,Mauricio Claver-Carone,United States of America,Mauricio Claver-Carone is an American advocate in support of the policy positions that the United States has taken against the Cuban government.,0.904582412764641
105695,Ignazio Ciufolini,Italy,Ignazio Ciufolini is an Italian physicist active in the field of gravitational physics and general relativity.,0.9042723735989943
51100,Harold Edwards,United States of America,"Harold Mortimer Edwards, Jr. (born August 6, 1936) is an American mathematician working in number theory, algebra, and the history and philosophy of mathematics.",0.9040663090130824
50583,Jesus Christ,Julius Caesar,"In the Christian Bible, Jesus states, ""Render unto Caesar the things that are Caesar's and unto God the things that are God's"", acknowledging, to a limit, the authority of man.",0.9039131070615158
67230,John F. Kennedy High School,Princeton University,"He attended John F. Kennedy High School in Los Angeles from 1981 to 1984, then earned a B. S. in mathematics from U.C.L.A. in 1987, and then a Ph. D. in mathematics from Princeton University in 1991.",0.903477297960584
80885,Jack Layton,Canada,"John Gilbert ""Jack"" Layton, PC (July 18, 1950 – August 22, 2011) was a Canadian social democratic politician and Leader of the Official Opposition.",0.9032124584380739
108879,Sweden,Johan Skytte Prize in Political Science,The Johan Skytte Prize in Political Science (Swedish: Skytteanska priset) was established in 1995 by the Johan Skytte Foundation at Uppsala University.,0.903059427277059
31896,Artūras Paulauskas,Lithuanian,Artūras Paulauskas [ɐrˈt̪uːrɐs̪ pɐʊˈɫɐ̂ˑʊs̪kɐs̪] ( listen ) (born 23 August 1953 in Vilnius) is a Lithuanian politician.,0.9025657563369699
53246,Australia,People's Republic of China,"He has carried out fieldwork in rural France and in a number of Aboriginal communities in Australia, and recently on traditional craft in rural China.",0.9019841514556658
38430,French,René Descartes,"The 17th-century French philosopher René Descartes, for example, has sometimes been blamed for mistreatment of animals because he argued that only humans are conscious.",0.9019831391175367
111321,Kembrew McLeod,University of Iowa,"Kembrew McLeod is an American journalist, artist, activist, and professor of Communication Studies at the University of Iowa.",0.9019432560372814
95810,United States of America,Mike Keneally,"Bryan Beller (born May 6, 1971) is an American bass guitarist known for his work with Dethklok, Mike Keneally, Steve Vai, James LaBrie of Dream Theater, Dweezil Zappa and The Aristocrats.",0.901793244053219
14588,Meghan Doyle,Jenni Baird,"Meghan Doyle, played by Jenni Baird, is a major character in the fourth season of The 4400, and the new head of NTAC.",0.9016667182575311
46197,East River Monster,New York City,"The ""East River Monster"" was an animal carcass that washed ashore on a beach under the Brooklyn Bridge in New York City, New York.",0.9013667956773029
115632,"History of the University of California, Los Angeles",Los Angeles,"The University of California, Los Angeles, School of Law is the law school of UCLA, located in the Westwood neighborhood of Los Angeles, California, United States.",0.9013559523795692
15130,Livingston,Byram,"In 1829 Mr. Bartlett petitioned the Sussex County Court for a license to ""...keep an Inn or Tavern in the house in which he now lives, in the Township of Byram..."" It was signed by the 16 town council members (referred to as Freeholders).",0.9011431447778607
21931,Corvallis,United States of America,"Christopher K. Chase-Dunn (born January 10, 1944, Corvallis, Oregon) is an American sociologist best known for his contributions to world-systems theory.",0.9010624963383695
60436,Eaton Rapids,United States of America,"Michael McCoy (born September 16, 1944, Eaton Rapids, Michigan) is an American industrial designer and educator who has made significant contributions to American design and design education in the latter half of the 20th century.",0.9009643449937732
101740,János Komlós,Hungarian American,"János Komlós (Budapest, 23 May 1942) is a Hungarian-American mathematician, working in probability theory and discrete mathematics.",0.9006205125890563
112581,Vancouver,University of British Columbia,"The Beaty Biodiversity Museum is a natural history museum in Vancouver, British Columbia, Canada, located on the campus of the University of British Columbia.",0.9005931699975863
69853,Dartmouth College,Hanover,"She is an assistant professor in the Department of Anthropology at Dartmouth College in Hanover, New Hampshire.",0.9004057461922231
116403,Clarence Raymond Adams,United States of America,Clarence Raymond Adams (1898 – 1965) was an American mathematician who worked on partial difference equations.,0.9002342266181813
75706,Brian Jordan,United States district court,Brian Jordan Davis (born 1953) is a United States District Judge for the United States District Court for the Middle District of Florida.,0.8999121043780524
44553,John Mahoney,United States of America,"John Friend Mahoney (August 1, 1889 – February 23, 1957) was an American physician best known as a pioneer in the treatment of syphilis with penicillin.",0.899835728533323
49864,Simon A. Levin,United States of America,"Simon Asher Levin (born April 22, 1941) is an American ecologist.",0.8997085306422765
14396,Arno Allan Penzias,Robert Wilson,"Although predicted by earlier theories, it was first found accidentally by Arno Penzias and Robert Woodrow Wilson as they experimented with the Holmdel Horn Antenna.",0.8996739663740048
117831,state of the United States,University of Wisconsin–Madison,This is a list of prominent people from the U.S. state of Wisconsin.,0.8994081482967307
74027,Abijah Cheever,Saugus,"Abijah Cheever was an American doctor and politician from Saugus, Massachusetts.",0.8993434943470988
